id,district,street,number,address,lon,lat,geocode,inPestGhetto,inInternational
d1-1,1,Ág utca,4,Ág utca 4.,19.0303,47.495364,street-segment,0,0
d1-2,1,Aladár utca,6,Aladár utca 6.,19.035256,47.489541,street-segment,0,0
d1-3,1,Aladár utca,12,Aladár utca 12.,19.035299,47.48954,street-segment,0,0
d1-4,1,Alkotás utca,6,Alkotás utca 6.,19.023829,47.498743,street-segment,0,0
d1-5,1,Alkotás utca,8,Alkotás utca 8.,19.024214,47.491173,street-segment,0,0
d1-6,1,Alkotás utca,16,Alkotás utca 16.,19.023946,47.499512,street-segment,0,0
d1-7,1,Batthyány utca,12,Batthyány utca 12.,19.162396,47.516633,street-segment,0,0
d1-8,1,Batthyány utca,56,Batthyány utca 56.,19.162383,47.516626,street-segment,0,0
d1-9,1,Corvin tér,12,Corvin tér 12.,19.038248,47.502208,street-segment,0,0
d1-10,1,Csalogány utca,8/a,Csalogány utca 8/a.,19.03777,47.507721,street-segment,0,0
d1-11,1,Csalogány utca,38,Csalogány utca 38.,19.028904,47.507966,street-segment,0,0
d1-12,1,Derék utca,18,Derék utca 18.,19.034899,47.49251,street-segment,0,0
d1-13,1,Donáti utca,6,Donáti utca 6.,19.036759,47.503632,street-segment,0,0
d1-14,1,Donáti utca,16,Donáti utca 16.,19.036358,47.501091,street-segment,0,0
d1-15,1,Gellérthegy utca,29,Gellérthegy utca 29.,19.03317,47.495652,street-segment,0,0
d1-16,1,Hattyú utca,8/b,Hattyú utca 8/b.,19.031898,47.507151,street-segment,0,0
d1-17,1,Hattyú utca,21,Hattyú utca 21.,19.031454,47.507285,street-segment,0,0
d1-18,1,Iskola utca,27,Iskola utca 27.,19.037467,47.504229,street-segment,0,0
d1-19,1,Kapucinus utca,20,Kapucinus utca 20.,19.039059,47.500416,street-segment,0,0
d1-20,1,Kuny Domokos utca,4/a,Kuny Domokos utca 4/a.,19.028841,47.498416,street-segment,0,0
d1-21,1,Kuny Domokos utca,13,Kuny Domokos utca 13.,19.027542,47.497301,street-segment,0,0
d1-22,1,Lánchíd utca,13,Lánchíd utca 13.,19.041354,47.496894,street-segment,0,0
d1-23,1,Lisznyay utca,15,Lisznyay utca 15.,19.04084,47.501344,district-bbox,0,0
d1-24,1,Lisznyay utca,40,Lisznyay utca 40.,19.031997,47.493293,district-bbox,0,0
d1-25,1,Márvány utca,18,Márvány utca 18.,19.026666,47.495315,street-segment,0,0
d1-26,1,Mészáros utca,8,Mészáros utca 8.,19.030859,47.489044,street-segment,0,0
d1-27,1,Naphegy tér,2,Naphegy tér 2.,19.033211,47.49331,street-segment,0,0
d1-28,1,Naphegy tér,9,Naphegy tér 9.,19.033142,47.492929,street-segment,0,0
d1-29,1,Pala utca,8,Pala utca 8.,19.039114,47.500838,street-segment,0,0
d1-30,1,Pauler utca,5,Pauler utca 5.,19.0313,47.498063,street-segment,0,0
d1-31,1,Pauler utca,12,Pauler utca 12.,19.032915,47.497121,street-segment,0,0
d2-32,2,Áldás utca,6,Áldás utca 6.,19.025541,47.5181,street-segment,0,0
d2-33,2,Bajvívó utca,11,Bajvívó utca 11.,19.03067,47.50978,street-segment,0,0
d2-34,2,Barsi utca,3,Barsi utca 3.,19.024856,47.515235,street-segment,0,0
